,AFOGADOS,AGUA FRIA,ALTO SANTA TEREZINHA,AREIAS,BARRO,BOA VIAGEM,BOA VISTA,BRASILIA TEIMOSA,BREJO DA GUABIRABA,CAMPINA DO BARRETO,CAMPO GRANDE,CASA AMARELA,COELHOS,COHAB,CORDEIRO,DOIS UNIDOS,IBURA,ILHA JOANA BEZERRA,IMBIRIBEIRA,IPSEP,IPUTINGA,JARDIM SAO PAULO,JORDAO,LINHA DO TIRO,MACAXEIRA,MADALENA,NOVA DESCOBERTA,PASSARINHO,PINA,SAN MARTIN,SANTO AMARO,TORRE,TORROES,VARZEA,VASCO DA GAMA
AFOGADOS,1.0,1.0,0.0227,1.0,1.0,1.0,1.0,1.0,0.429,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0132
AGUA FRIA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.467,1.0,0.2989,0.6936,1.0,1.0,1.0,1.0,0.1067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ALTO SANTA TEREZINHA,0.0227,1.0,1.0,0.0279,1.0,0.1608,1.0,0.9576,1.0,1.0,0.102,1.0,1.0,0.0073,0.0275,1.0,0.0107,1.0,0.0317,0.7515,0.2318,0.0018,0.792,1.0,0.6728,1.0,1.0,1.0,0.1107,0.7508,0.0292,1.0,1.0,0.1345,1.0
AREIAS,1.0,1.0,0.0279,1.0,1.0,1.0,1.0,1.0,0.5086,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0174
BARRO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BOA VIAGEM,1.0,1.0,0.1608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0777
BOA VISTA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BRASILIA TEIMOSA,1.0,1.0,0.9576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BREJO DA GUABIRABA,0.429,1.0,1.0,0.5086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1979,0.5568,1.0,0.2846,1.0,0.6728,1.0,1.0,0.0506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.517,1.0,1.0,1.0,1.0
CAMPINA DO BARRETO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CAMPO GRANDE,1.0,1.0,0.102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.065
CASA AMARELA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0452,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COELHOS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COHAB,1.0,0.467,0.0073,1.0,1.0,1.0,1.0,1.0,0.1979,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0014
CORDEIRO,1.0,1.0,0.0275,1.0,1.0,1.0,1.0,1.0,0.5568,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0128
DOIS UNIDOS,0.0,0.2989,1.0,0.0,0.7781,0.0,0.1927,0.0314,1.0,1.0,0.0,0.0452,1.0,0.0,0.0,1.0,0.0,0.2218,0.0,0.0316,0.0,0.0,0.0345,1.0,0.0285,0.7058,0.0425,0.3577,0.0001,0.0119,0.0,0.2052,0.1831,0.0,1.0
IBURA,1.0,0.6936,0.0107,1.0,1.0,1.0,1.0,1.0,0.2846,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0021
ILHA JOANA BEZERRA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IMBIRIBEIRA,1.0,1.0,0.0317,1.0,1.0,1.0,1.0,1.0,0.6728,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0128
IPSEP,1.0,1.0,0.7515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IPUTINGA,1.0,1.0,0.2318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.156
JARDIM SAO PAULO,1.0,0.1067,0.0018,1.0,1.0,1.0,1.0,1.0,0.0506,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003
JORDAO,1.0,1.0,0.792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LINHA DO TIRO,0.0035,1.0,1.0,0.0048,1.0,0.0167,1.0,0.7323,1.0,1.0,0.0172,1.0,1.0,0.0002,0.0029,1.0,0.0003,1.0,0.0027,0.6032,0.0401,0.0001,0.6446,1.0,0.5336,1.0,1.0,1.0,0.0265,0.4812,0.0056,1.0,1.0,0.0153,1.0
MACAXEIRA,1.0,1.0,0.6728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MADALENA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NOVA DESCOBERTA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PASSARINHO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PINA,1.0,1.0,0.1107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0875
SAN MARTIN,1.0,1.0,0.7508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SANTO AMARO,1.0,1.0,0.0292,1.0,1.0,1.0,1.0,1.0,0.517,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0196
TORRE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TORROES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VARZEA,1.0,1.0,0.1345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0682
VASCO DA GAMA,0.0132,1.0,1.0,0.0174,1.0,0.0777,1.0,1.0,1.0,1.0,0.065,1.0,1.0,0.0014,0.0128,1.0,0.0021,1.0,0.0128,1.0,0.156,0.0003,1.0,1.0,1.0,1.0,1.0,1.0,0.0875,1.0,0.0196,1.0,1.0,0.0682,1.0
