bairro,n,mediana,media,posto_medio,pares_difere
JARDIM SAO PAULO,71,5.0,12.18,1428.73,4
AFOGADOS,56,5.0,4.8,1370.87,4
SANTO AMARO,52,5.0,5.65,1370.02,4
AREIAS,55,4.0,5.18,1365.43,4
COHAB,103,4.0,5.4,1354.19,4
CORDEIRO,73,4.0,283.99,1338.12,4
IBURA,116,4.0,5.29,1334.7,4
IMBIRIBEIRA,89,5.0,4.84,1317.25,4
PINA,63,4.0,4.38,1300.78,2
MACAXEIRA,32,4.0,5.16,1298.06,1
IPSEP,33,4.0,4.79,1288.06,1
JORDAO,33,4.0,5.03,1285.3,1
CAMPO GRANDE,80,4.0,6.3,1284.32,2
BRASILIA TEIMOSA,38,3.0,8.32,1258.92,1
SAN MARTIN,45,4.0,12.18,1252.47,1
VARZEA,121,4.0,5.62,1248.9,2
IPUTINGA,107,4.0,6.03,1235.47,2
BOA VIAGEM,143,4.0,5.52,1234.8,2
TORRE,32,4.0,4.06,1233.61,0
BOA VISTA,33,3.0,4.06,1229.91,0
PASSARINHO,31,4.0,3.97,1220.02,0
BARRO,32,3.5,4.34,1184.62,0
CASA AMARELA,63,4.0,4.1,1163.2,1
ILHA JOANA BEZERRA,54,3.0,3.52,1143.89,0
MADALENA,47,3.0,4.91,1128.23,0
TORROES,73,3.0,4.08,1109.88,0
NOVA DESCOBERTA,98,3.0,5.62,1109.35,1
CAMPINA DO BARRETO,32,3.0,3.5,1089.92,0
AGUA FRIA,116,3.0,3.61,1051.78,0
COELHOS,41,2.0,3.49,1025.41,0
BREJO DA GUABIRABA,35,1.0,2.97,886.07,0
VASCO DA GAMA,65,1.0,3.45,852.46,8
LINHA DO TIRO,72,1.0,3.36,829.14,13
DOIS UNIDOS,180,0.0,3.16,775.9,20
ALTO SANTA TEREZINHA,31,0.0,2.06,753.39,8
