variavel,arbovirose,ano,casos,presenca-absoluta,presenca-relativa
ano,dengue,2013,3229,3229,100.0
bairro_residencia,dengue,2013,3229,3229,100.0
cid,dengue,2013,3229,3229,100.0
classificacao,dengue,2013,3229,3229,100.0
comorb_autoimune,dengue,2013,3229,0,0.0
comorb_diabetes,dengue,2013,3229,0,0.0
comorb_hematologica,dengue,2013,3229,0,0.0
comorb_hepatopatia,dengue,2013,3229,0,0.0
comorb_hipertensao,dengue,2013,3229,0,0.0
criterio,dengue,2013,3229,3229,100.0
distrito_residencia,dengue,2013,3229,3229,100.0
dt_encerramento,dengue,2013,3229,3229,100.0
dt_internacao,dengue,2013,3229,29,0.9
dt_investigacao,dengue,2013,3229,3229,100.0
dt_nascimento,dengue,2013,3229,2917,90.34
dt_notificacao,dengue,2013,3229,3229,100.0
dt_obito,dengue,2013,3229,19,0.59
dt_sintoma,dengue,2013,3229,3229,100.0
duplicidade,dengue,2013,3229,103,3.19
evolucao,dengue,2013,3229,3213,99.5
gestante,dengue,2013,3229,3229,100.0
hospitalizacao,dengue,2013,3229,2630,81.45
idade,dengue,2013,3229,3229,100.0
municipio_notificacao,dengue,2013,3229,3229,100.0
municipio_residencia,dengue,2013,3229,3229,100.0
nome_bairro_residencia,dengue,2013,3229,3229,100.0
notificacao,dengue,2013,3229,3229,100.0
raca_cor,dengue,2013,3229,3074,95.2
sexo,dengue,2013,3229,3229,100.0
tipo_notificacao,dengue,2013,3229,3229,100.0
uf_notificacao,dengue,2013,3229,3229,100.0
zona_residencia,dengue,2013,3229,3180,98.48
ano,dengue,2014,1192,1192,100.0
bairro_residencia,dengue,2014,1192,1192,100.0
cid,dengue,2014,1192,1192,100.0
classificacao,dengue,2014,1192,1192,100.0
comorb_autoimune,dengue,2014,1192,0,0.0
comorb_diabetes,dengue,2014,1192,0,0.0
comorb_hematologica,dengue,2014,1192,0,0.0
comorb_hepatopatia,dengue,2014,1192,0,0.0
comorb_hipertensao,dengue,2014,1192,0,0.0
criterio,dengue,2014,1192,1192,100.0
distrito_residencia,dengue,2014,1192,1189,99.75
dt_encerramento,dengue,2014,1192,1192,100.0
dt_internacao,dengue,2014,1192,20,1.68
dt_investigacao,dengue,2014,1192,1192,100.0
dt_nascimento,dengue,2014,1192,1117,93.71
dt_notificacao,dengue,2014,1192,1192,100.0
dt_obito,dengue,2014,1192,2,0.17
dt_sintoma,dengue,2014,1192,1192,100.0
duplicidade,dengue,2014,1192,45,3.78
evolucao,dengue,2014,1192,1170,98.15
gestante,dengue,2014,1192,1192,100.0
hospitalizacao,dengue,2014,1192,960,80.54
idade,dengue,2014,1192,1192,100.0
municipio_notificacao,dengue,2014,1192,1192,100.0
municipio_residencia,dengue,2014,1192,1192,100.0
nome_bairro_residencia,dengue,2014,1192,1192,100.0
notificacao,dengue,2014,1192,1192,100.0
raca_cor,dengue,2014,1192,1162,97.48
sexo,dengue,2014,1192,1192,100.0
tipo_notificacao,dengue,2014,1192,1192,100.0
uf_notificacao,dengue,2014,1192,1192,100.0
zona_residencia,dengue,2014,1192,1160,97.32
ano,dengue,2015,34556,34510,99.87
bairro_residencia,dengue,2015,34556,33832,97.9
cid,dengue,2015,34556,34510,99.87
classificacao,dengue,2015,34556,34502,99.84
comorb_autoimune,dengue,2015,34556,2146,6.21
comorb_diabetes,dengue,2015,34556,2146,6.21
comorb_hematologica,dengue,2015,34556,2146,6.21
comorb_hepatopatia,dengue,2015,34556,2146,6.21
comorb_hipertensao,dengue,2015,34556,2146,6.21
criterio,dengue,2015,34556,31510,91.19
distrito_residencia,dengue,2015,34556,30229,87.48
dt_encerramento,dengue,2015,34556,34292,99.24
dt_internacao,dengue,2015,34556,563,1.63
dt_investigacao,dengue,2015,34556,33261,96.25
dt_nascimento,dengue,2015,34556,33984,98.34
dt_notificacao,dengue,2015,34556,34510,99.87
dt_obito,dengue,2015,34556,32,0.09
dt_sintoma,dengue,2015,34556,34510,99.87
duplicidade,dengue,2015,34556,0,0.0
evolucao,dengue,2015,34556,30328,87.76
gestante,dengue,2015,34556,34509,99.86
hospitalizacao,dengue,2015,34556,13929,40.31
idade,dengue,2015,34556,34510,99.87
municipio_notificacao,dengue,2015,34556,34510,99.87
municipio_residencia,dengue,2015,34556,34510,99.87
nome_bairro_residencia,dengue,2015,34556,34281,99.2
notificacao,dengue,2015,34556,34556,100.0
raca_cor,dengue,2015,34556,26205,75.83
sexo,dengue,2015,34556,34507,99.86
tipo_notificacao,dengue,2015,34556,34510,99.87
uf_notificacao,dengue,2015,34556,34510,99.87
zona_residencia,dengue,2015,34556,31426,90.94
ano,dengue,2016,18612,18612,100.0
bairro_residencia,dengue,2016,18612,17744,95.34
cid,dengue,2016,18612,18612,100.0
classificacao,dengue,2016,18612,18589,99.88
comorb_autoimune,dengue,2016,18612,12628,67.85
comorb_diabetes,dengue,2016,18612,12628,67.85
comorb_hematologica,dengue,2016,18612,12628,67.85
